"Shape_Leng","Shape_Area","Island","WUI_Riskar","Wind_ms","Wind_mph"
0.130783892241,0.000653064544228,"Kauai","Kekaha",1.9707677742722,4.40860751104691
0.123977324733,0.000748207600915,"Kauai","Waimea",2.33678029974302,5.22737753052513
0.0602081528923,0.000171244456878,"Kauai","Pakala",3.46852977229999,7.75910110063507
0.117363156006,0.000564630189878,"Kauai","Hanapepe",3.79632247411288,8.49237337459051
0.0988422615164,0.000441830045446,"Kauai","Eleele",3.28362279619489,7.34546419508798
0.0618533087382,0.000288867852771,"Kauai","Numila",2.95318672708843,6.60627870849682
0.162158928405,0.00153744170659,"Kauai","Kalaheo",2.56314600043151,5.73375760296528
0.148419415148,0.000766571105316,"Kauai","Lawai",1.75747656702995,3.93147508044601
0.106786966403,0.000547695471896,"Kauai","Omao",1.95654249174351,4.37678555403023
0.126561402347,0.000400597387821,"Kauai","Poipu",3.66210798476823,8.19213556192652
0.168423689558,0.00110157148413,"Kauai","Koloa",3.95321357437542,8.84333876587783
0.0583440518494,0.000251420381683,"Kauai","Kahili Wai",1.85092181228101,4.14051209407263
0.0665063620676,0.000196074548534,"Kauai","Niumalu",1.87137391616901,4.18626345047007
0.10611662199,0.000676507504912,"Kauai","Puhi",2.08212912342417,4.65772284909987
0.192331326804,0.00117245870815,"Kauai","Lihue",3.03894394793838,6.79811761153817
0.155618526029,0.000725709527509,"Kauai","Hanamaulu",2.70653904420612,6.05452784188909
0.239637549342,0.00192592731455,"Kauai","Wailua Homestead",1.30936665866753,2.92905321543927
0.126458849027,0.000727051071257,"Kauai","Wailua House Lots",1.87058125310025,4.18449026318526
0.0926730979804,0.000372038562675,"Kauai","Waipouli",3.42729979399907,7.66686963917593
0.0834298183703,0.000336513133276,"Kauai","Kealia",3.32019306803649,7.42727189319764
0.226012729839,0.0021582726991,"Kauai","Kapaa",1.48412002300367,3.31997649145921
0.0872407837207,0.000450976885345,"Kauai","Anahola",2.23532565735595,5.00042349550527
0.175807683806,0.00109228218993,"Kauai","Papaa",1.76106675800388,3.93950633765469
0.151040432139,0.0010169735958,"Kauai","Moloaa",2.30629560516445,5.15918326875286
0.252822585122,0.00167379185782,"Kauai","Kilauea",1.58554433141085,3.54686266936607
0.23869141592,0.00133984105049,"Kauai","Kalihiwai",1.3125175241568,2.93610170153877
0.205490257813,0.00110968774411,"Kauai","Princeville",1.9131899598123,4.27980594010011
0.207824481451,0.000706689803881,"Kauai","Hanalei",1.22624020496037,2.74309933849635
0.103752506913,0.000537415125135,"Kauai","Lumahai",1.03315829011527,2.31117509498786
0.097718618963,0.000248399798577,"Kauai","Wainaha-Haena",1.58648682228829,3.5489710214589
0.0378190355572,8.10048146747e-05,"Oahu","Makua Keeau",3.7839697940009,8.46474042918001
0.166695932574,0.00111082691212,"Oahu","Makaha",2.97448431536303,6.65392141346709
0.158953978976,0.00107215302252,"Oahu","Waiane",4.26633522289242,9.54379189361034
0.204895912032,0.00143306492745,"Oahu","Maili",4.04915130011579,9.05795145835902
0.205018322829,0.00151337072999,"Oahu","Nanakuli",4.21014742252758,9.4180997841942
0.11451053499,0.000681965263624,"Oahu","Honokai/Koolina",4.61942812326913,10.333660711753
0.148562817256,0.00139881774094,"Oahu","Makakilo",5.08300919632996,11.3706915721901
0.210737935776,0.00155481055208,"Oahu","Kapolei",3.84212718370969,8.59483850995857
0.227797561715,0.00213117889434,"Oahu","Ewa",3.3309697375185,7.45137930282889
0.242256141788,0.00230489046655,"Oahu","Waikele",2.9994704739338,6.7098154501899
0.294585000785,0.00404572398476,"Oahu","Mililani",2.2124945927655,4.94935040401643
0.229456904793,0.00225032661529,"Oahu","Wahiwa",2.17902957478331,4.87448915879027
0.353106754933,0.0040265224029,"Oahu","Pearl City/Halawa",2.1880229473413,4.89460733320248
0.584376269182,0.0063680171417,"Oahu","Honolulu",2.4326605030719,5.44186154537183
0.368271724465,0.00343230214095,"Oahu","East Honolulu Diamond Head",3.00818778714505,6.72931607984348
0.603908448203,0.00416921566028,"Oahu","East Honolulu Hawaii Kai",3.83008243757005,8.56789441284419
0.254556677533,0.00190463743346,"Oahu","Waimanalo",2.00237576243641,4.47931458057024
0.320769122344,0.0033417836214,"Oahu","Kailua",2.46553571905269,5.51540340352086
0.310038668764,0.00248596541003,"Oahu","Kaneohe",1.94471037943819,4.35031711880324
0.211551687465,0.00174019368512,"Oahu","Kahaluu",1.12518753570771,2.51704451737815
0.153572603516,0.00068937191646,"Oahu","Waiahole/Waikane",1.04595733157038,2.33980655072293
0.101772519715,0.000384500749349,"Oahu","Kaaawa",2.23247128065492,4.99403825482506
0.0225899159889,2.44313309234e-05,"Oahu","Kahana",1.04248512908816,2.33203923377022
0.138879598729,0.000638052705811,"Oahu","Punaluu",1.52401296882936,3.40921701127128
0.0819870973793,0.000357567699383,"Oahu","Hauula",1.345200568699,3.00921367217966
0.167581969192,0.000725431994816,"Oahu","Laie",3.09312255680561,6.91931515957415
0.0972323560245,0.000524278705785,"Oahu","Kahuku",3.25877602589203,7.28988196992047
0.0566561450989,0.000233299537817,"Oahu","Kahuku/Marconi",3.56276890805789,7.96991404732551
0.122515224818,0.000378674662565,"Oahu","Kawela",3.55127495551302,7.94420207548262
0.108590943143,0.000477705184228,"Oahu","Sunset Beach",1.68682889680068,3.77343624214311
0.125844768556,0.000823521348249,"Oahu","Pupukea",0.992796835439806,2.22088652087885
0.156315145026,0.000609518469511,"Oahu","Waimea",1.81727474972606,4.06524361513719
