WUI_Riskar,WUI_Area_m2,SUM_BurnArea_m2,BP_prop,COUNT_FIRE_UID,Freq_perYr,FRI_years
Kaanapali,6171559.1563613415,1154576.3429095745,0.1870801710973626,1,0.041666666666666664,24
Wahikuli,4967953.442911744,1596526.1342699528,0.321364954928849,3,0.125,8
Lahaina,11762286.13673973,6082039.615864754,0.517079719466047,5,0.20833333333333334,4.8
Launiupoko,7765841.048555374,4877152.153225392,0.6280262656332188,4,0.16666666666666666,6
Olowalu,2172050.2714377046,1846882.9705245122,0.8502947628841203,5,0.20833333333333334,4.8
Maalaea,1074358.065437138,312924.64637577534,0.2912666237102726,4,0.16666666666666666,6
Kihei,32375249.385771006,4489376.184904471,0.13866692211111004,5,0.20833333333333334,4.8
Makena,6064267.608733058,0,0,0,0,NA
Ulupalakua,1124044.7899718285,0,0,0,0,NA
Kanaio,1987026.2088582814,0,0,0,0,NA
Kipahulu,4516790.328865051,0,0,0,0,NA
Koali,3434305.606836438,0,0,0,0,NA
Makaalae,4716613.64612484,0,0,0,0,NA
Hamoa,1479333.0354161263,0,0,0,0,NA
Hana,9092074.2816391,0,0,0,0,NA
Kaeleku,7921586.4249154925,0,0,0,0,NA
Upper Nahiku,4499841.155983567,0,0,0,0,NA
Nahiku,3001490.238052577,0,0,0,0,NA
Wailua,2421813.950380832,0,0,0,0,NA
Puu Waawaa,1015155.7157438397,0,0,0,0,NA
Kohala Estates/Kohala by the sea,13626127.984431282,1128533.7353169322,0.08282130746213112,4,0.16666666666666666,6
Kohala Ranch,4743134.724187374,0,0,0,0,NA
Kawaihae Makai,2551546.9306354523,2743256.958627496,1.0751348233850824,4,0.16666666666666666,6
Hapuna/Mauna Kea,8181299.95321238,3393504.8194267983,0.4147879724290443,7,0.2916666666666667,3.4285714285714284
Kawaihae Road Subdivisions,18294530.096293926,3389555.491671279,0.18527699120066107,5,0.20833333333333334,4.8
Waimea,44039955.92095089,694170.7901235521,0.0157622952976962,2,0.08333333333333333,12
Waikokoe Road homes,2182978.634304285,0,0,0,0,NA
Wailea Bay,1304779.1342387497,84911.45145705342,0.06507726037985234,1,0.041666666666666664,24
Puako,4520021.140277401,1404026.262779355,0.310623826572012,1,0.041666666666666664,24
Mauna Lani,7819146.941612959,337157.55348812416,0.04311948042487793,1,0.041666666666666664,24
Waikoloa,4881166.717547774,0,0,0,0,NA
Waikoloa Village,15589555.619723797,2921658.4876276255,0.18741127450298606,2,0.08333333333333333,12
Waikii,6995627.342720032,98100.6603950262,0.01402313982563897,2,0.08333333333333333,12
Puu Anahulu,6399946.009015083,570037.3012811393,0.08906907972007484,2,0.08333333333333333,12
Hualalai/Kukio,11034985.799763083,0,0,0,0,NA
Kalaoa,24893774.63522616,2597878.737535402,0.10435857059054637,4,0.16666666666666666,6
Kaloko,17907660.316516906,0,0,0,0,NA
Holualoa,24183104.661476135,0,0,0,0,NA
Kailua-Kona,46191385.43464029,247063.30486780405,0.005348687911026023,2,0.08333333333333333,12
Keauhou,16431908.607131243,0,0,0,0,NA
Kainaliu,5811349.333269119,2291.5213100910187,3.9431828628377176e-4,1,0.041666666666666664,24
Kealakekua,10471511.427606583,0,0,0,0,NA
Captain Cook,27947232.75058496,0,0,0,0,NA
Honaunau,10784265.63527143,0,0,0,0,NA
Honaunau/Papa,8773225.283534765,0,0,0,0,NA
Honaunau/Papa South,20889047.927148968,0,0,0,0,NA
Milolii,9723813.167141914,0,0,0,0,NA
Honomalino,12492501.94527626,0,0,0,0,NA
Hawaiian Ocean View Estates,48251239.15416145,174920.460647583,0.0036252014189462924,1,0.041666666666666664,24
Rancho Estates,24237745.914444566,0,0,0,0,NA
Kiolakaa,9026025.186605573,0,0,0,0,NA
South Point Mauka,4598727.875675917,32089.86842226982,0.0069779881066681475,1,0.041666666666666664,24
South Point Makai,1556913.1232751608,0,0,0,0,NA
Discovery Harbor,13592384.299791813,0,0,0,0,NA
Naalehu,13174764.787850618,240397.31879281998,0.01824680156829117,1,0.041666666666666664,24
Punalulu,955187.4516663551,430968.4803818017,0.45118733462208216,3,0.125,8
Pahala,6580650.274395227,270119.14776954055,0.04104748565966985,3,0.125,8
Wood Valley,3355676.405757904,0,0,0,0,NA
Opihikau/Pohoiki,6035703.5510828495,0,0,0,0,NA
Blacksands Subdivisions,4697462.688736558,0,0,0,0,NA
Kehena,9201608.587590218,0,0,0,0,NA
N Kahoe Homestead Rd,4662300.46408993,0,0,0,0,NA
Leilani Estates/Kaueleau,32153712.077444434,0,0,0,0,NA
Leilani Estates/Pohoiki Rd,8775817.718734503,0,0,0,0,NA
Railroad Ave/Papaya Farms Rd,6362298.777459919,0,0,0,0,NA
Waa Waa,4658676.9487196505,0,0,0,0,NA
Nanawale,12240148.042411327,0,0,0,0,NA
Pahoa,17208944.307346344,553334.1804547012,0.03215387129926894,1,0.041666666666666664,24
Hawaiian Beaches,17749550.48091364,0,0,0,0,NA
Makuu,5730187.392300487,0,0,0,0,NA
Ainaloa,15571249.132345736,26340.662158340216,0.0016916216505471913,1,0.041666666666666664,24
Paradise Park,48361930.760698795,0,0,0,0,NA
Kurtistown,87950144.60279846,0,0,0,0,NA
Mountain View,94828906.85950053,0,0,0,0,NA
Glenwood,71733702.44243073,0,0,0,0,NA
Volcano Village,28441943.822429538,0,0,0,0,NA
Volcano CC,8080927.638669729,659964.4795176238,0.08166939601828513,1,0.041666666666666664,24
Keaau,9590808.804758877,0,0,0,0,NA
Hilo,129006182.8090738,0,0,0,0,NA
Wainaku/Kaiwiki Makai,9841033.408620834,0,0,0,0,NA
Wainaku/Kaiwiki Mauka,9818406.035088181,0,0,0,0,NA
Papaikou,18184027.919104576,0,0,0,0,NA
Pepeekeo,11803079.235863566,0,0,0,0,NA
Honomu,21036721.846259594,0,0,0,0,NA
Hakalau,13722839.25289929,0,0,0,0,NA
Kamaee Rd,2988961.225903034,0,0,0,0,NA
Umauma,4782418.368911147,0,0,0,0,NA
Ninole,13447307.056703866,0,0,0,0,NA
Laupahoehoe,19946520.41486848,0,0,0,0,NA
Waipunalei,4316852.140235543,0,0,0,0,NA
Ookala,3455184.553035915,0,0,0,0,NA
Paauilo,9669982.409429565,1247534.0957755446,0.12901099949871955,1,0.041666666666666664,24
Paauilo/Kaumoali Gulch,23468124.162210464,99979.9035975337,0.004260242655377045,1,0.041666666666666664,24
Kalopa,10797846.13819325,0,0,0,0,NA
Paauhau,4776144.43974781,0,0,0,0,NA
