"Shape_Leng","Shape_Area","Island","WUI_Riskar","grass_mean","grass_median","pct_dom_grass"
0.130783892241,0.000653064544228,"Kauai","Kekaha",0.826642174886298,0.897624329986472,93.3333333333333
0.123977324733,0.000748207600915,"Kauai","Waimea",0.792891990892939,0.859733619064624,88.8532867268667
0.0602081528923,0.000171244456878,"Kauai","Pakala",0.869967073901117,0.934192439459769,95.9322033898305
0.117363156006,0.000564630189878,"Kauai","Hanapepe",0.899645412692544,0.963615957199275,97.5669412976313
0.0988422615164,0.000441830045446,"Kauai","Eleele",0.827956296704351,0.924132841590158,89.5195788088187
0.0618533087382,0.000288867852771,"Kauai","Numila",0.928460256358204,0.96484629790997,98.3425414364641
0.162158928405,0.00153744170659,"Kauai","Kalaheo",0.904895809766833,0.968727228784264,96.9359331476323
0.148419415148,0.000766571105316,"Kauai","Lawai",0.904404543121312,0.974959989577457,96.8622618257655
0.106786966403,0.000547695471896,"Kauai","Omao",0.966969210786979,1,99.6290408055114
0.126561402347,0.000400597387821,"Kauai","Poipu",0.842037907630754,0.927292216655478,92.661217075386
0.168423689558,0.00110157148413,"Kauai","Koloa",0.918269870309284,0.999989337421823,96.3590792164105
0.0583440518494,0.000251420381683,"Kauai","Kahili Wai",0.970207185248993,1,99.4802194628934
0.0665063620676,0.000196074548534,"Kauai","Niumalu",0.859104683586588,0.94867224982883,92.0522388059701
0.10611662199,0.000676507504912,"Kauai","Puhi",0.95681821529211,1,99.0193965517241
0.192331326804,0.00117245870815,"Kauai","Lihue",0.924230450279123,1,96.3484546360917
0.155618526029,0.000725709527509,"Kauai","Hanamaulu",0.916419944926652,0.974159779324337,98.3493397358944
0.239637549342,0.00192592731455,"Kauai","Wailua Homestead",0.941358878135499,1,97.2357355658634
0.126458849027,0.000727051071257,"Kauai","Wailua House Lots",0.943286550241904,0.998555997147241,98.7398739873987
0.0926730979804,0.000372038562675,"Kauai","Waipouli",0.910709565096237,0.985190156348384,96.1485557083906
0.0834298183703,0.000336513133276,"Kauai","Kealia",0.907279026664689,1,95.9342560553633
0.226012729839,0.0021582726991,"Kauai","Kapaa",0.947624830601592,1,98.7678427147859
0.0872407837207,0.000450976885345,"Kauai","Anahola",0.886730285159952,0.943500452516461,96.9022265246854
0.175807683806,0.00109228218993,"Kauai","Papaa",0.887312501844319,0.966696222992458,94.1686104631789
0.151040432139,0.0010169735958,"Kauai","Moloaa",0.930746520152372,1,98.7356239731409
0.252822585122,0.00167379185782,"Kauai","Kilauea",0.918278670460764,0.998952799911416,95.9913137893594
0.23869141592,0.00133984105049,"Kauai","Kalihiwai",0.913062697634033,0.990187457452691,96.266145663736
0.205490257813,0.00110968774411,"Kauai","Princeville",0.898380877480833,0.975863227833397,96.3891081294396
0.207824481451,0.000706689803881,"Kauai","Hanalei",0.860113226286053,0.947746016861773,92.9921907110563
0.103752506913,0.000537415125135,"Kauai","Lumahai",0.837547786225569,0.913375957861268,92.8001082690486
0.097718618963,0.000248399798577,"Kauai","Wainaha-Haena",0.723191807372366,0.767692198748647,82.499268364062
0.0378190355572,8.10048146747e-05,"Oahu","Makua Keeau",0.635389974873597,0.677374598499068,69.3404634581105
0.166695932574,0.00111082691212,"Oahu","Makaha",0.769752659540425,0.816049692871431,89.4012838988602
0.158953978976,0.00107215302252,"Oahu","Waiane",0.842084545281235,0.9278688131222,92.9099166271267
0.204895912032,0.00143306492745,"Oahu","Maili",0.860067840443961,0.943804611236794,94.4687119057294
0.205018322829,0.00151337072999,"Oahu","Nanakuli",0.842660960793492,0.914657720645205,93.2779564987756
0.11451053499,0.000681965263624,"Oahu","Honokai/Koolina",0.852254930853524,0.950968450098628,92.0166275847367
0.148562817256,0.00139881774094,"Oahu","Makakilo",0.925962148326219,0.978354975312468,99.0077406618526
0.210737935776,0.00155481055208,"Oahu","Kapolei",0.860347375950901,0.962094957998807,93.415346907994
0.227797561715,0.00213117889434,"Oahu","Ewa",0.82872540803413,0.925821984395035,89.9375149383686
0.242256141788,0.00230489046655,"Oahu","Waikele",0.856239566129278,0.943254949892078,93.5126582278481
0.294585000785,0.00404572398476,"Oahu","Mililani",0.783407446705901,0.852268116212097,87.2188838113058
0.229456904793,0.00225032661529,"Oahu","Wahiwa",0.736231654718967,0.841596855956609,80.0407200336102
0.353106754933,0.0040265224029,"Oahu","Pearl City/Halawa",0.731314537241387,0.806367267746542,78.6122656405975
0.584376269182,0.0063680171417,"Oahu","Honolulu",0.765516565649022,0.854008640662655,83.0609487069911
0.368271724465,0.00343230214095,"Oahu","East Honolulu Diamond Head",0.844258046357907,0.959745938616869,90.2154126213592
0.603908448203,0.00416921566028,"Oahu","East Honolulu Hawaii Kai",0.819317459583559,0.918644096111185,88.6728834097255
0.254556677533,0.00190463743346,"Oahu","Waimanalo",0.844175439642321,0.941529984859501,90.2693808831407
0.320769122344,0.0033417836214,"Oahu","Kailua",0.880225589091525,0.974089919873496,94.4528725018139
0.310038668764,0.00248596541003,"Oahu","Kaneohe",0.847373385071575,0.953755995621306,91.2485965845299
0.211551687465,0.00174019368512,"Oahu","Kahaluu",0.862389950278035,0.955799696345947,92.7861734992068
0.153572603516,0.00068937191646,"Oahu","Waiahole/Waikane",0.887387895431992,0.993899101923383,94.5065373260228
0.101772519715,0.000384500749349,"Oahu","Kaaawa",0.774378327183517,0.897941306076351,81.9076457229372
0.0225899159889,2.44313309234e-05,"Oahu","Kahana",0.9164249586994,0.960273187516144,100
0.138879598729,0.000638052705811,"Oahu","Punaluu",0.860396802997402,0.941200163417881,92.8359908883827
