GEOID,NAME,total_pop,med_hh_income,pct_poverty,pct_unemployed,pct_less_hs,pct_bachelors_plus,pct_disability,pct_renter,pct_no_vehicle,pct_no_internet,pct_under5,pct_65plus
15003002003,Census Tract 20.03; Honolulu County; Hawaii,1824,58750,14.857456140350877,6.784140969162995,1.3758599124452784,32.70794246404002,5.05050505050505,65.83941605839416,16.35036496350365,5.109489051094891,0.7675438596491228,22.697368421052634
15003011105,Census Tract 111.05; Honolulu County; Hawaii,3409,141683,2.0889286780065652,6.7368421052631575,1.4209591474245116,32.859680284191825,13.969658659924148,40.600978336827396,2.515723270440252,1.4675052410901468,4.75212672337929,22.851276034027574
15003010601,Census Tract 106.01; Honolulu County; Hawaii,3334,130096,3.1982942430703627,1.7191977077363898,0.03806623524933384,19.7944423296536,17.868051313378132,30.863039399624764,1.9699812382739212,10.881801125703564,6.65866826634673,26.15476904619076
15003006100,Census Tract 61; Honolulu County; Hawaii,4291,141094,6.054827175208581,3.2309533306741125,2.9715762273901807,14.470284237726098,19.00749063670412,44.987775061124694,4.88997555012225,6.234718826405868,4.567699836867863,18.59706362153344
15003002500,Census Tract 25; Honolulu County; Hawaii,3629,71509,15.277777777777779,5.200729927007299,0.605095541401274,23.949044585987263,8.831168831168831,69.98411858125992,2.011646373742721,7.57014293276866,2.755580049600441,23.505097823091763
15009030903,Census Tract 309.03; Maui County; Hawaii,7336,121400,6.779661016949152,3.7461559966452334,0.5499153976311337,13.028764805414554,24.62110774317994,15.443592552026287,4.216867469879518,14.676889375684556,4.593784078516903,20.32442748091603
15001020202,Census Tract 202.02; Hawaii County; Hawaii,2252,66065,7.295173961840629,2.9077117572692797,0.9019843656043296,17.67889356584486,30.59617547806524,25.38860103626943,1.5544041450777202,15.198618307426598,6.74955595026643,14.076376554174066
15001021502,Census Tract 215.02; Hawaii County; Hawaii,5104,86222,11.080277502477701,5.196850393700787,1.5674814027630182,21.75876726886291,22.71658173265386,40.034562211981566,0,4.262672811059908,5.035266457680251,22.15909090909091
15009030710,Census Tract 307.10; Maui County; Hawaii,2599,81056,15.471551052221354,0.8088235294117648,0.6666666666666667,22.904761904761905,14.522981846272693,37.17409587888982,1.4297729184188395,0,3.462870334744132,28.395536744901882
15003000401,Census Tract 4.01; Honolulu County; Hawaii,3118,171316,7.287853577371048,5.187713310580205,0.22927015666794037,44.13450515857853,13.915642643639986,12.476007677543185,1.727447216890595,4.798464491362764,3.078896728672226,36.78640153944836
15003008912,Census Tract 89.12; Honolulu County; Hawaii,3029,143929,5.490458654168061,5.006954102920723,2.797202797202797,14.685314685314685,19.477036540395577,5.972696245733788,6.313993174061433,9.044368600682594,2.7401782766589635,27.632882139319907
15003002401,Census Tract 24.01; Honolulu County; Hawaii,2888,70760,21.733053808525508,2.957151478575739,2.1486123545210387,29.09579230080573,16.579770594369133,75.84223500410846,6.327033689400165,6.902218570254724,9.729916897506925,20.083102493074794
15003005100,Census Tract 51; Honolulu County; Hawaii,2888,70903,16.170360110803326,9.565217391304348,8.279483037156703,16.35702746365105,8.761435608726249,63.26530612244898,2.5510204081632653,10.267857142857142,1.5235457063711912,29.778393351800553
15003008929,Census Tract 89.29; Honolulu County; Hawaii,5838,105372,2.8670120898100175,1.6335682254964765,0,32.09661354581673,20.763765541740675,29.43903569772833,0.8344923504867872,1.2517385257301807,6.166495375128469,14.782459746488524
15003002802,Census Tract 28.02; Honolulu County; Hawaii,2321,98393,5.514864282636794,1.1029411764705883,0,27.85560344827586,13.342082239720035,34.141201264488934,12.32876712328767,5.05795574288725,2.0249892287806976,26.066350710900476
15003002102,Census Tract 21.02; Honolulu County; Hawaii,1657,69018,9.375,4.4493882091212456,1.9693654266958425,21.808898614150255,13.521819299323909,68.26347305389223,11.137724550898204,11.736526946107785,5.853952926976463,29.028364514182257
15003009402,Census Tract 94.02; Honolulu County; Hawaii,3292,62750,29.542682926829265,7.588279489105935,0.8421985815602837,10.195035460992907,25.03101736972705,72.92724196277496,1.6920473773265652,7.7834179357022,7.351154313487242,18.98541919805589
15003007813,Census Tract 78.13; Honolulu County; Hawaii,3137,147022,4.503353561162568,3.3553355335533555,0.6839945280437756,28.408572731418147,21.732131358660656,14.857142857142858,0.5714285714285714,1.6,5.164169588779089,14.53618106471151
15003001906,Census Tract 19.06; Honolulu County; Hawaii,2965,67604,15.649241146711637,3.1269942565411615,1.2723658051689861,26.401590457256464,10.927835051546392,52.25173210161663,6.062355658198614,11.02771362586605,2.799325463743676,25.497470489038786
15003003801,Census Tract 38.01; Honolulu County; Hawaii,4765,85833,11.416579223504723,5.81588567630442,1.177059854745805,40.34560480841473,9.554551323434474,49.20514761544285,8.024224072672217,10.030280090840273,2.539349422875131,18.845750262329485
15003004301,Census Tract 43.01; Honolulu County; Hawaii,2177,80865,19.660082682590723,8.294209702660407,0,30.932999373825925,11.254019292604502,48.907388137356925,4.162330905306972,14.672216441207075,2.388608176389527,28.98484152503445
15003008415,Census Tract 84.15; Honolulu County; Hawaii,4224,143693,2.864583333333333,2.25,0.3156787092248334,24.69309014380919,27.631907976994246,11.733333333333333,0,3.022222222222222,3.90625,8.333333333333332
15003982100,Census Tract 9821; Honolulu County; Hawaii,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15003003410,Census Tract 34.10; Honolulu County; Hawaii,2363,71601,39.187473550571305,6.424148606811146,6.079797340088663,19.569347688410385,21.625052898857387,75.4017305315204,1.2360939431396787,3.955500618046971,11.510791366906476,11.299195937367752
